BAIRROS;Classe
Acupe;D
Aeroporto;C
Águas Claras;E
Alto da Terezinha;E
Alto das Pombas;E
Alto do Cabrito;E
Alto do Coqueirinho;E
Amaralina;D
Areia Branca;E
Arenoso;E
Arraial do Retiro;E
Bairro da Paz;E
Baixa de Quintas;E
Barbalho;E
Barra;C
Barreiras;E
Barris;D
Beiru/Tancredo Neves;E
Boa Viagem;E
Boa Vista de Brotas;E
Boa Vista de São Caetano;E
Boca da Mata;E
Boca do Rio;E
Bom Juá;E
Bonfim;E
Brotas;D
Cabula;D
Cabula VI;E
Caixa DÁgua;E
Cajazeiras;E
Cajazeiras II;E
Cajazeiras IV;E
Cajazeiras V;E
Cajazeiras VI;E
Cajazeiras VII;E
Cajazeiras VIII;E
Cajazeiras X;E
Cajazeiras XI;E
Calabar;E
Calabetão;E
Calçada;E
Caminho das Árvores;C
Caminho de Areia;E
Campinas de Pirajá;E
Canabrava;E
Candeal;C
Canela;C
Capelinha;E
Cassange;E
Castelo Branco;E
Centro;D
Centro Administrativo da Bahia;E
Centro Histórico;E
Chapada do Rio Vermelho;E
Cidade Nova;E
Comércio;E
Cosme de Farias;E
Costa Azul;C
Coutos;E
Curuzu;E
Dom Avelar;E
Doron;E
Engenho Velho da Federação;E
Engenho Velho de Brotas;E
Engomadeira;E
Fazenda Coutos;E
Fazenda Grande do Retiro;E
Fazenda Grande I;E
Fazenda Grande II;E
Fazenda Grande III;E
Fazenda Grande IV;E
Federação;E
Garcia;D
Graça;C
Granjas Rurais Presidente Vargas;E
IAPI;E
Ilha de Bom Jesus dos Passos;E
Ilha de Maré;E
Ilha dos Frades;E
Imbuí;D
Itacaranha;E
Itaigara;C
Itapuã;E
Itinga;E
Jaguaripe I;E
Jardim Armação;C
Jardim Cajazeiras;E
Jardim das Margaridas;E
Jardim Nova Esperança;E
Jardim Santo Inácio;E
Lapinha;E
Liberdade;E
Lobato;E
Luiz Anselmo;E
Macaúbas;E
Mangueira;E
Marechal Rondon;E
Mares;E
Massaranduba;E
Mata Escura;E
Matatu;E
Monte Serrat;E
Moradas da Lagoa;E
Mussurunga;E
Narandiba;E
Nazaré;D
Nordeste de Amaralina;E
Nova Brasília;E
Nova Constituinte;E
Nova Esperança;E
Nova Sussuarana;E
Novo Horizonte;E
Novo Marotinho;E
Ondina;C
Palestina;E
Paripe;E
Patamares;C
Pau da Lima;E
Pau Miúdo;E
Periperi;E
Pernambués;E
Pero Vaz;E
Piatã;C
Pirajá;E
Pituaçu;E
Pituba;C
Plataforma;E
Porto Seco Pirajá;E
Praia Grande;E
Resgate;D
Retiro;E
Ribeira;E
Rio Sena;E
Rio Vermelho;C
Roma;E
Saboeiro;D
Santa Cruz;E
Santa Luzia;E
Santa Mônica;E
Santo Agostinho;D
Santo Antônio;E
São Caetano;E
São Cristóvão;E
São Gonçalo;E
São João do Cabrito;E
São Marcos;E
São Rafael;E
São Tomé;E
Saramandaia;E
Saúde;D
Sete de Abril;E
Stella Maris;C
STIEP;C
Sussuarana;E
Tororó;E
Trobogy;E
Uruguai;E
Vale das Pedrinhas;E
Vale dos Lagos;E
Valéria;E
Vila Canária;E
Vila Laura;D
Vila Ruy Barbosa/Jardim Cruzeiro;E
Vitória;C
